Number of Cycles,Average Dropped Packets,Ratio of Dropped Packets,Packet Generation Frequency,Ratio of Dropped Packets to Total Cycles,Ratio of Dropped Packets to Packet Generation Frequency,Total Packets Generated,Average 0 Packets Dropped,Average 1 Packets Dropped,Average 2 Packets Dropped,Average 3 Packets Dropped,Standard Deviation Dropped Packets
1000,61.2,,0.1,0.061200000000000004,612.0,754.0,15.6,15.6,14.6,15.4,15.305554547287725
2000,75.9,,0.15000000000000002,0.037950000000000005,505.99999999999994,845.0,17.4,19.3,19.1,20.1,19.000460520734755
3000,88.7,,0.2,0.029566666666666668,443.5,931.0,22.7,20.5,22.0,23.5,22.202421039156967
4000,95.9,,0.25,0.023975,383.6,1008.0,25.1,22.4,24.0,24.4,23.995468322164502
5000,98.7,,0.3,0.01974,329.0,1010.0,23.2,25.0,24.7,25.8,24.692964585079693
6000,95.6,,0.35,0.015933333333333334,273.14285714285717,1050.0,22.8,24.4,23.7,24.7,23.91118984910621
7000,101.4,,0.39999999999999997,0.014485714285714286,253.50000000000003,1061.0,24.3,24.6,25.0,27.5,25.381587814792045
8000,110.9,,0.44999999999999996,0.013862500000000002,246.44444444444449,1061.0,26.9,28.4,25.7,29.9,27.76990277260617
9000,105.1,,0.49999999999999994,0.011677777777777777,210.20000000000002,1094.0,26.0,28.6,22.6,27.9,26.377689436339946
10000,110.2,,0.5499999999999999,0.01102,200.3636363636364,1080.0,27.6,28.3,25.5,28.8,27.578705553379404
11000,106.3,,0.6,0.009663636363636364,177.16666666666666,1103.0,26.6,25.7,28.2,25.8,26.59384327245688
12000,117.7,,0.65,0.009808333333333334,181.07692307692307,1099.0,31.0,29.8,29.0,27.9,29.44677401685964
13000,110.0,,0.7000000000000001,0.008461538461538461,157.14285714285714,1124.0,26.0,24.2,30.0,29.8,27.611953933034147
14000,106.0,,0.7500000000000001,0.007571428571428572,141.33333333333331,1127.0,27.6,28.5,26.2,23.7,26.561908816950638
15000,118.8,,0.8000000000000002,0.00792,148.49999999999997,1157.0,29.7,33.1,29.1,26.9,29.783048870120734
16000,117.9,,0.8500000000000002,0.00736875,138.70588235294116,1150.0,30.2,30.9,28.4,28.4,29.495635270324318
17000,113.2,,0.9000000000000002,0.006658823529411765,125.77777777777774,1155.0,29.0,26.6,29.2,28.4,28.318545160371496
18000,115.2,,0.9500000000000003,0.0064,121.2631578947368,1134.0,27.0,30.1,29.4,28.7,28.82299429275175
