Number of Cycles,Average Dropped Packets,Ratio of Dropped Packets,Packet Generation Frequency,Ratio of Dropped Packets to Total Cycles,Ratio of Dropped Packets to Packet Generation Frequency,Total Packets Generated,Average 0 Packets Dropped,Average 1 Packets Dropped,Average 2 Packets Dropped,Average 3 Packets Dropped,Standard Deviation Dropped Packets
1000,23.7,,0.1,0.0237,236.99999999999997,238.0,5.4,5.9,6.1,6.3,5.9344334186171475
2000,50.9,,0.15000000000000002,0.02545,339.33333333333326,462.0,13.1,12.0,11.2,14.6,12.788764600226248
3000,72.2,,0.2,0.024066666666666667,361.0,698.0,17.9,16.8,17.1,20.4,18.10538593899616
4000,88.4,,0.25,0.0221,353.6,891.0,22.8,20.6,20.4,24.6,22.167092727734957
5000,112.6,,0.3,0.02252,375.3333333333333,1132.0,25.4,27.2,28.8,31.2,28.230657094725938
6000,141.5,,0.35,0.023583333333333335,404.28571428571433,1364.0,34.7,36.7,34.6,35.5,35.38498975554465
7000,163.3,,0.39999999999999997,0.02332857142857143,408.25000000000006,1633.0,40.5,39.2,40.6,43.0,40.848041568721506
8000,187.5,,0.44999999999999996,0.0234375,416.6666666666667,1826.0,49.1,47.7,44.4,46.3,46.90722225841134
9000,212.3,,0.49999999999999994,0.023588888888888892,424.6000000000001,2050.0,51.9,55.4,53.0,52.0,53.09371431723345
10000,232.3,,0.5499999999999999,0.02323,422.36363636363643,2308.0,56.3,56.8,61.8,57.4,58.116112223719846
